label	tip_a	tip_b	age_min	age_max
Eukaryota_root	pEimTen1.1	fTauBub2.1	1085	1671
Opisthokonta	tzMemMemb1.1	gfAgaBisp1.1	985	1392
Metazoa	idNepFlae1.1	ocSycCili1.1	701.85	1020
Bilateria	eaMarGlac1.2	idNepFlae1.1	627	830
Euteleostomi	fAciRut3.2	bFalChe1.1	423.25	440
Protostomia	tzMemMemb1.1	idNepFlae1.1	543	670.09
Arthropoda	idNepFlae1.1	qqMetBour1.1	536.61	600
Gastropoda	xgSteCine2.1	xgPatPell1.1	379.74	500
Tridacna	xbTriCroc3.1	xbTriGiga4.1	17.05	147.15
Hexapoda	idNepFlae1.1	qeOrcFlav1.1	425.44	478.09
Pterygota	idNepFlae1.1	ioIscEleg1.1	377.37	441.6
Palaeoptera	ieSipAlte2.1	ioIscEleg1.1	325.78	430.63
Neoptera	ipLeuNigr2.1	idNepFlae1.1	346.52	391.78
Polyneoptera	ipLeuNigr2.1	ibEctPall1.hap1.1	25	370.6
Paraneoptera	ihIcePurc2.1	iuMesFusc1.1	172.58	416.6
Endopterygota	iyAnoNige1.1	icLeiSpin1.1	310.7	389.69
Apidae	iyBomHypn1.1	iyNomFabr1.1	98.45	112.01
Coleoptera	icChrOric1.1	icOphArdo1.1	189.63	307.19
Metazoa_node16	ilMicArun2.1	idAthIbis2.2	151.94	344.7
Metazoa_node17	iyAbiCand1.1	iyTipFemo1.1	223.72	303.97
Actinopteri	fAciRut3.2	fThuMac1.1	333.37	372
Amniota	mDicBic1.1	bLagMut1.1	316	322.37
Sauria	bLagMut1.1	rVipLat1.1	274.9	286.76
Otophysi	fDanRer4.1	fPanHyp1.1	131.97	169.97
Viridiplantae	rosCan_S27_v1	ucPycProv1.1	729	1105.66
Chlorophyceae	ucDunPrim2.1	ucMarCocc1.1	662.02	1000
Vir_node1	rosCan_S27_v1	drPotAnse1.1	21.12	57.76
Embryophyta	cjHerHutc3.1	rosCan_S27_v1	460	497.29
Marchantiophyta	cjHerHutc3.1	cmLunCruc20.1	304.84	437.86
Juncaceae	lpLuzSylv1.1	lpJunSqua1.hap1.1	44.34	69.59
Vir_node5	lpSchTriq1.1	lpCarDepa1.1	29.92	59.61
Arabidopsis	ddAraThal4.1	ddCarHirs1.hap1.1	5.94	29.23
Caryophyllales	dcPolAvic1.1	dcAreSerp1.hap1.1	81.32	97
Vir_node8	dcPolAvic1.1	lpJunSqua1.hap1.1	142.06	163.46
Hologalegina	drTriFrag1.1	drAstGlyc1.1	27.78	44.25
Vir_node10	laPotNata1.hap1.1	lpJunSqua1.hap1.1	125.28	137.9
Vir_node11	lpPhrAust1.1	lpHieOdor1.hap1.1	41.44	51.9
Vir_node12	drTriFrag1.1	dmBerVulg1.1	126.01	132.41
Rosales	drGeuUrba1.1	drUrtUren1.1	76	95.47
Pentapetalae	drGeuUrba1.1	dcPolAvic1.1	111.37	123.93
Poales	lpSpaEmer1.hap1.1	lpJunSqua1.hap1.1	94.08	117
Vir_node16	daTanVulg1.hap2.1	daArcMinu1.1	36.62	45.14
Vir_node17	cbPolSexa1.1	cbRhyConf1.1	181.26	354.85
Dikarya	gfAgaBisp1.1	glPlaGlau9.1	583.17	749
Saccharomyceta	gsMetZobe1.1	glPlaGlau9.1	437.81	670.19
Sordariomyceta	gyLeoLubr2.1	grCorFumo1.1	239.73	320
Platismatia_Cladonia	glClaSqua9.2	glPlaGlau9.1	93.88	146.36
Clavariaceae	gfRamCorn1.1	gfClaFumo1.1	56.47	69.34
Russula_Hericium	gfHerErin3.1	gfRusVesc1.hap1.1	69.04	143.12
Agaricus_Chlorophyllum	gfChlBrun1.1	gfAgaBisp1.1	46.38	73.27
Panellus_Mycena	gfMycGale1.hap1.1	gfPanStip1.1	2.12	13.69
over0	bFalPer1.1	bFalChe1.1	1.66	2.78
over1	xgPatVulg1.1	xgPatPell1.1	7.2	10.8
over2	fThuAlb1.1	fThuMac1.1	3.41	4.29
over3	bTaeGut1.4	bCorHaw1.1	30.4	45.6
over4	bLagMut1.1	bGalGal1.GRCg7b	27.91	42.4
over5	cbRhyConf1.1	cbThuTama2.1	48.81	94.59
over6	xgPhoLine1.1	xgSteCine2.1	60.79	91.18
over7	bPorHoc1.1	bLagMut1.1	86.5	101.8
over8	drGeuRiva1.hap1.1	drGeuUrba1.1	10.34	15.52
over9	icLeiSpin1.1	icPteMadi1.1	36.56	54.85
Amphiesmen	ilPieNapi4.1	iiLimLuna2.1	172.28	302.41
