seqID_header_	cls_	hmm_comb_	dtolID_	def_one_	def_two_	feature_	seqID_	start_	end_	length_	method_	plant_type_	class_	centromere_status_	ltr_identity_	rownames.tag
Chr8_224659989__224672578-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	224659989	224672578	12590	intact	monocot	Satellite	OUT	0.971	Chr8_224659989__224672578-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr8_150359718__150372287-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	150359718	150372287	12570	intact	monocot	Satellite	OUT	0.9928	Chr8_150359718__150372287-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr8_151279438__151292014-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	151279438	151292014	12577	intact	monocot	Satellite	OUT	0.9948	Chr8_151279438__151292014-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr17_152348155__152360752-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr17	152348155	152360752	12598	intact	monocot	Satellite	OUT	0.994	Chr17_152348155__152360752-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr2_33773440__33786050-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr2	33773440	33786050	12611	intact	monocot	Satellite	OUT	0.9801	Chr2_33773440__33786050-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr18_135064998__135077629-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr18	135064998	135077629	12632	intact	monocot	Satellite	OUT	0.979	Chr18_135064998__135077629-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr6_288066439__288079072-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr6	288066439	288079072	12634	intact	monocot	Satellite	OUT	0.976	Chr6_288066439__288079072-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr5_49519665__49532249-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr5	49519665	49532249	12585	intact	monocot	Satellite	OUT	0.9954	Chr5_49519665__49532249-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr1_169708263__169720865-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr1	169708263	169720865	12603	intact	monocot	Satellite	OUT	0.975	Chr1_169708263__169720865-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr1_183420646__183433269-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr1	183420646	183433269	12624	intact	monocot	Satellite	IN	0.971	Chr1_183420646__183433269-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr1_186299069__186311691-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr1	186299069	186311691	12623	intact	monocot	Satellite	IN	0.972	Chr1_186299069__186311691-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr9_2088566__2101097-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr9	2088566	2101097	12532	intact	monocot	Satellite	OUT	0.994	Chr9_2088566__2101097-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr8_12139__24667-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	12139	24667	12529	intact	monocot	Satellite	OUT	0.996	Chr8_12139__24667-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr8_5980126__5992657-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	5980126	5992657	12532	intact	monocot	Satellite	OUT	0.996	Chr8_5980126__5992657-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr3_169945912__169958519-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr3	169945912	169958519	12608	intact	monocot	Satellite	OUT	0.997	Chr3_169945912__169958519-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr10_90887434__90900009-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr10	90887434	90900009	12576	intact	monocot	Satellite	IN	0.9967	Chr10_90887434__90900009-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr8_59831472__59844053-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	59831472	59844053	12582	intact	monocot	Satellite	OUT	0.998	Chr8_59831472__59844053-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr3_24135085__24147664-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr3	24135085	24147664	12580	intact	monocot	Satellite	OUT	0.9974	Chr3_24135085__24147664-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr11_196020715__196033312-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr11	196020715	196033312	12598	intact	monocot	Satellite	OUT	0.992	Chr11_196020715__196033312-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr8_266007657__266020135-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	266007657	266020135	12479	intact	monocot	Satellite	OUT	0.989	Chr8_266007657__266020135-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr8_34499195__34511670-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	34499195	34511670	12476	intact	monocot	Satellite	OUT	0.9947	Chr8_34499195__34511670-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr9_9373056__9385642-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr9	9373056	9385642	12587	intact	monocot	Satellite	OUT	0.9934	Chr9_9373056__9385642-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr14_109591923__109604516-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr14	109591923	109604516	12594	intact	monocot	Satellite	OUT	0.9967	Chr14_109591923__109604516-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr12_16824419__16836981-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr12	16824419	16836981	12563	intact	monocot	Satellite	OUT	0.9954	Chr12_16824419__16836981-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr16_154352901__154365464-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr16	154352901	154365464	12564	intact	monocot	Satellite	OUT	0.989	Chr16_154352901__154365464-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr12_39685681__39698304-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr12	39685681	39698304	12624	intact	monocot	Satellite	OUT	0.9934	Chr12_39685681__39698304-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr6_52698707__52711271-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr6	52698707	52711271	12565	intact	monocot	Satellite	OUT	0.9901	Chr6_52698707__52711271-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr3_32587898__32600455-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr3	32587898	32600455	12558	intact	monocot	Satellite	OUT	0.9874	Chr3_32587898__32600455-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr9_220269754__220282336-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr9	220269754	220282336	12583	intact	monocot	Satellite	OUT	0.992	Chr9_220269754__220282336-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr18_29820973__29833525-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr18	29820973	29833525	12553	intact	monocot	Satellite	OUT	0.9954	Chr18_29820973__29833525-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr3_60411778__60424380-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr3	60411778	60424380	12603	intact	monocot	Satellite	OUT	0.9954	Chr3_60411778__60424380-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr10_170328465__170341049-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr10	170328465	170341049	12585	intact	monocot	Satellite	OUT	0.992	Chr10_170328465__170341049-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr5_212694176__212706742-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr5	212694176	212706742	12567	intact	monocot	Satellite	OUT	0.999	Chr5_212694176__212706742-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr8_144391585__144404146-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	144391585	144404146	12562	intact	monocot	Satellite	OUT	0.993	Chr8_144391585__144404146-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr10_18268894__18281465-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr10	18268894	18281465	12572	intact	monocot	Satellite	OUT	0.9934	Chr10_18268894__18281465-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr11_117045145__117055192-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr11	117045145	117055192	10048	intact	monocot	Satellite	OUT	0.9962	Chr11_117045145__117055192-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr18_126342817__126355373-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr18	126342817	126355373	12557	intact	monocot	Satellite	OUT	0.991	Chr18_126342817__126355373-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr10_15080478__15093001-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr10	15080478	15093001	12524	intact	monocot	Satellite	OUT	0.9926	Chr10_15080478__15093001-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr3_65645429__65656300-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr3	65645429	65656300	10872	intact	monocot	Satellite	OUT	0.9927	Chr3_65645429__65656300-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr8_22473598__22486153-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr8	22473598	22486153	12556	intact	monocot	Satellite	OUT	0.9954	Chr8_22473598__22486153-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr9_11006359__11018950-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr9	11006359	11018950	12592	intact	monocot	Satellite	OUT	0.9934	Chr9_11006359__11018950-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr13_41757145__41769712-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr13	41757145	41769712	12568	intact	monocot	Satellite	OUT	0.9941	Chr13_41757145__41769712-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr18_83199354__83211906-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr18	83199354	83211906	12553	intact	monocot	Satellite	OUT	0.9974	Chr18_83199354__83211906-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr18_84642837__84655422-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr18	84642837	84655422	12586	intact	monocot	Satellite	OUT	0.9961	Chr18_84642837__84655422-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
Chr1_253324280__253336836-intact#Gypsy_LTR_retrotransposon	Gypsy_Athila	111110	laApoDist1	NA	NA	Gypsy_LTR_retrotransposon	Chr1	253324280	253336836	12557	intact	monocot	Satellite	OUT	0.995	Chr1_253324280__253336836-intact#Gypsy_LTR_retrotransposon/Gypsy_Athila/111110/laApoDist1
